material_id,name,synonyms,material_type,category,subcategory,CAS,PubChem_CID,SMILES,InChIKey,supplier_or_grade_notes,route_suitability,regulatory_or_safety_notes,source_id,curation_status,confidence_score,notes
API_DEXAMETHASONE,Dexamethasone,,api,Drug/API,corticosteroid,,5743.0,,,,neutral corticosteroid; pulmonary/topical/oral nanocarrier payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_BUDESONIDE,Budesonide,,api,Drug/API,corticosteroid,,2462.0,,,,neutral corticosteroid; pulmonary delivery candidate,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_FLUTICASONE_PROPIONATE,Fluticasone propionate,,api,Drug/API,corticosteroid,,5311101.0,,,,highly lipophilic inhaled corticosteroid,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_BECLOMETHASONE_DIPROPIONATE,Beclomethasone dipropionate,,api,Drug/API,corticosteroid,,21700.0,,,,inhaled corticosteroid prodrug-like ester,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_PREDNISOLONE,Prednisolone,,api,Drug/API,corticosteroid,,5755.0,,,,corticosteroid; oral/topical/parenteral precedent,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_HYDROCORTISONE,Hydrocortisone,,api,Drug/API,corticosteroid,,5754.0,,,,corticosteroid; benchmark amphiphilic neutral drug,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CURCUMIN,Curcumin,,api,Drug/API,polyphenol,,969516.0,,,,polyphenol; hydrophobic antioxidant/anti-inflammatory payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_QUERCETIN,Quercetin,,api,Drug/API,flavonoid,,5280343.0,,,,flavonoid; crystallization-prone polyphenol,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_RESVERATROL,Resveratrol,,api,Drug/API,polyphenol,,445154.0,,,,polyphenol; neutral weak acid phenolic payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_IBUPROFEN,Ibuprofen,,api,Drug/API,NSAID,,3672.0,,,,weak-acid NSAID; ionization controls loading/release,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_KETOPROFEN,Ketoprofen,,api,Drug/API,NSAID,,3825.0,,,,weak-acid NSAID,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_DICLOFENAC,Diclofenac,,api,Drug/API,NSAID,,3033.0,,,,weak-acid NSAID; salt form changes solubility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_NAPROXEN,Naproxen,,api,Drug/API,NSAID,,156391.0,,,,weak-acid NSAID,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_INDOMETHACIN,Indomethacin,,api,Drug/API,NSAID,,3715.0,,,,weak-acid NSAID; high crystallization risk,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_PACLITAXEL,Paclitaxel,,api,Drug/API,anticancer taxane,,36314.0,,,,neutral bulky hydrophobic anticancer payload,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_DOCETAXEL,Docetaxel,,api,Drug/API,anticancer taxane,,148124.0,,,,taxane; precipitation/crystallization risk,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_DOXORUBICIN,Doxorubicin,,api,Drug/API,anthracycline,,31703.0,,,,cationizable anthracycline; pH-gradient liposome loading,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CISPLATIN,Cisplatin,,api,Drug/API,platinum complex,,84691.0,,,,placeholder inorganic anticancer; use complex-specific models,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_ACYCLOVIR,Acyclovir,,api,Drug/API,antiviral,,2022.0,,,,hydrophilic antiviral; low lipid compatibility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CLOTRIMAZOLE,Clotrimazole,,api,Drug/API,antifungal,,2812.0,,,,lipophilic imidazole antifungal,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_AMPHOTERICIN_B,Amphotericin B,,api,Drug/API,antifungal polyene,,5280965.0,,,,amphiphilic polyene; sterol-binding relevance,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_DOXYCYCLINE,Doxycycline,,api,Drug/API,antibiotic tetracycline,,54671203.0,,,,chelation and pH-sensitive solubility,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_RIFAMPICIN,Rifampicin,,api,Drug/API,antibiotic rifamycin,,5381226.0,,,,large amphiphilic antibiotic; oxidation-sensitive,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CYCLOSPORINE_A,Cyclosporine A,,api,Drug/API,peptide/cyclic peptide,,5284373.0,,,,cyclic peptide; lipid emulsion/self-emulsifying relevance,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_TACROLIMUS,Tacrolimus,,api,Drug/API,macrolide immunosuppressant,,445643.0,,,,macrolide immunosuppressant,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_SIROLIMUS,Sirolimus,,api,Drug/API,mTOR inhibitor macrolide,,5284616.0,,,,macrolide; amorphous/polymer stabilization candidate,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_ITRACONAZOLE,Itraconazole,,api,Drug/API,triazole antifungal,,55283.0,,,,highly lipophilic weak base,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_VORICONAZOLE,Voriconazole,,api,Drug/API,triazole antifungal,,71616.0,,,,weak base; oral/parenteral precedent,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CELECOXIB,Celecoxib,,api,Drug/API,NSAID/COX-2 inhibitor,,2662.0,,,,weakly acidic sulfonamide; hydrophobic,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_NIFEDIPINE,Nifedipine,,api,Drug/API,calcium-channel blocker,,4485.0,,,,photolabile dihydropyridine,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_FELODIPINE,Felodipine,,api,Drug/API,calcium-channel blocker,,3333.0,,,,hydrophobic dihydropyridine,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_CARVEDILOL,Carvedilol,,api,Drug/API,beta-blocker,,2585.0,,,,basic amphiphile; ionization affects zeta/loading,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_ATORVASTATIN,Atorvastatin,,api,Drug/API,statin,,60823.0,,,,weak acid; salt form must be explicit,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_SIMVASTATIN,Simvastatin,,api,Drug/API,statin lactone,,54454.0,,,,neutral lactone prodrug; hydrophobic,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
API_FENOFIBRATE,Fenofibrate,,api,Drug/API,fibrate,,3339.0,,,,hydrophobic ester; lipid carrier model drug,API-specific; route depends on approved product and toxicology.,S001_PUBCHEM,seed_curated,0.72,Internal API constants seed; replace uncertain pH-dependent values with project-specific measurements.
PAY_SIRNA_DUPLEX_PLACEHOLDER,siRNA duplex placeholder,siRNA;siRNA (placeholder);small interfering RNA,api,Payload placeholder,nucleic-acid payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use sequence-specific MW, GC%, ionizable-lipid N/P ratio, and buffer pH."
PAY_MRNA_PAYLOAD_PLACEHOLDER,mRNA payload placeholder,mRNA;mRNA (placeholder);messenger RNA,api,Payload placeholder,nucleic-acid payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use transcript length, cap/polyA/modification and buffer-specific hydrodynamic descriptors."
PAY_PEPTIDE_PAYLOAD_PLACEHOLDER,Peptide payload placeholder,,api,Payload placeholder,peptide payload placeholder,,,,,,research/design placeholder only,Not an actual curated substance; replace with sequence-specific material row.,S000_USER_SPEC,placeholder,0.25,"Use sequence-specific pI, net charge, instability motifs, and proteolysis risk."
SURF_SPAN_20,Span 20,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_SPAN_40,Span 40,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_SPAN_60,Span 60,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_SPAN_65,Span 65,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_SPAN_80,Span 80,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_SPAN_85,Span 85,,nonionic_surfactant,Nonionic surfactant,Span/sorbitan ester,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_20,Tween 20,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_21,Tween 21,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_40,Tween 40,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_60,Tween 60,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_61,Tween 61,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_65,Tween 65,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_80,Tween 80,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_81,Tween 81,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_TWEEN_85,Tween 85,,nonionic_surfactant,Nonionic surfactant,Tween/polysorbate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S011_CRODA_SPAN_TWEEN,seed_curated,0.68,
SURF_BRIJ_30,Brij 30,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_35,Brij 35,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_52,Brij 52,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_56,Brij 56,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_58,Brij 58,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_72,Brij 72,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_76,Brij 76,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_78,Brij 78,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_92,Brij 92,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_96,Brij 96,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_BRIJ_98,Brij 98,,nonionic_surfactant,Nonionic surfactant,Brij/fatty alcohol ethoxylate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_MYRJ_45,Myrj 45,,nonionic_surfactant,Nonionic surfactant,Myrj/polyoxyl stearate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_MYRJ_49,Myrj 49,,nonionic_surfactant,Nonionic surfactant,Myrj/polyoxyl stearate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_MYRJ_52,Myrj 52,,nonionic_surfactant,Nonionic surfactant,Myrj/polyoxyl stearate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_MYRJ_53,Myrj 53,,nonionic_surfactant,Nonionic surfactant,Myrj/polyoxyl stearate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_MYRJ_59,Myrj 59,,nonionic_surfactant,Nonionic surfactant,Myrj/polyoxyl stearate,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S007_EXCIPIENTS_HANDBOOK,seed_curated,0.68,
SURF_POLOXAMER_124,Poloxamer 124,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_188,Poloxamer 188,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_237,Poloxamer 237,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_338,Poloxamer 338,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_407,Poloxamer 407,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_P85,Poloxamer P85,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
SURF_POLOXAMER_L64,Poloxamer L64,,nonionic_surfactant,Nonionic surfactant,poloxamer PEO-PPO-PEO,,,,,,oral/topical; selected grades may support parenteral/inhalation with toxicology,Check IID/compendial grade and route-specific limits.,S010_BASF_KOLLIPHOR,seed_curated,0.68,
